exp,step,level,metric,n_succ,n_fail,mean_all,mean_succ,mean_fail,gap,gap_ci_lo,gap_ci_hi,auc,gmm_acc,gmm_base_rate,n_ep_succ,n_ep_fail
official_4to5,init,episode,ce,150,1898,1.4218240881087032,1.4393086567097872,1.4204422728873323,0.01886638382245498,-0.000362645743321721,0.038457255903665,0.5498314014752371,0.8837890625,0.9267578125,150,1898
official_4to5,init,episode,perplexity,150,1898,4.2202359951940425,4.303821710796096,4.2136301694088445,0.09019154138725138,0.009492618420236965,0.17357946692226628,0.5554829645240604,0.9267578125,0.9267578125,150,1898
official_4to5,init,episode,target_confidence_mean,150,1898,0.6976052995339411,0.6940398762291629,0.6978870769289447,-0.0038472006997818387,-0.008587396179527442,0.0006229170393206209,0.4550087811731648,0.55712890625,0.9267578125,150,1898
official_4to5,init,episode,action_obs_cosine,150,1898,0.34907280903526794,0.37502710712295356,0.3470216263623739,0.028005480760579682,-0.0023498992604338463,0.055928020248309916,0.5256059009483668,0.671875,0.9267578125,150,1898
official_4to5,init,transition,ce,3874,94900,1.4206807727251276,1.426523218416089,1.4204422728873323,0.006080945528756709,-4.5671253419377026e-05,0.012547986178018106,0.5076075106638893,0.8971692955636098,0.9607791524085285,150,1898
official_4to5,init,transition,perplexity,3874,94900,4.214927124974442,4.246698184131718,4.2136301694088445,0.033068014722873684,0.006168376356987771,0.06200696061792126,0.5076075106638893,0.7755380970700791,0.9607791524085285,150,1898
official_4to5,init,transition,target_confidence_mean,3874,94900,0.697834677995609,0.6965510799642316,0.6978870769289447,-0.0013359969647130931,-0.0027215204656186043,4.700837317854842e-05,0.48397654678755947,0.9215886771822545,0.9607791524085285,150,1898
official_4to5,init,transition,action_obs_cosine,3874,94900,0.3475734898371849,0.36109229307919816,0.34702162636237394,0.01407066671682422,0.005146670985937472,0.023234617983109,0.5096980776982862,0.6979063316257315,0.9607791524085285,150,1898
official_4to5,15,episode,ce,282,1766,1.4196896346535244,1.4404782813391805,1.4163700432801636,0.024108238059016962,0.009973343297799453,0.03857756319224781,0.5641329927792904,0.8212890625,0.8623046875,282,1766
official_4to5,15,episode,perplexity,282,1766,4.203881029140231,4.301577583848214,4.1882805600419,0.11329702380631446,0.054731557259488264,0.1729021380157952,0.5726930274772496,0.77783203125,0.8623046875,282,1766
official_4to5,15,episode,target_confidence_mean,282,1766,0.6921959589388209,0.6867766119919684,0.6930613359711044,-0.006284723979136042,-0.009423368917422856,-0.0029897109825593586,0.4267085933672281,0.7060546875,0.8623046875,282,1766
official_4to5,15,episode,action_obs_cosine,282,1766,0.33321903129035696,0.3801440816621135,0.32572590320154865,0.05441817846056485,0.031743390377089405,0.07672160957753175,0.5640165297221753,0.59619140625,0.8623046875,282,1766
official_4to5,15,transition,ce,6754,88300,1.4174411707266534,1.4314448061316059,1.4163700432801636,0.01507476285144227,0.010281563055474997,0.01964415577997406,0.5204133870084453,0.9289456519452101,0.9289456519452101,282,1766
official_4to5,15,transition,perplexity,6754,88300,4.1934465209130245,4.260984919627896,4.1882805600419,0.07270435958599641,0.05169934718253004,0.09284214758232523,0.5204133870084453,0.7445452058829718,0.9289456519452101,282,1766
official_4to5,15,transition,target_confidence_mean,6754,88300,0.6927518219424796,0.6887053178371252,0.6930613359711043,-0.004356018133979123,-0.00535023765090086,-0.0033100376834726427,0.46613740743709275,0.8937972100069435,0.9289456519452101,282,1766
official_4to5,15,transition,action_obs_cosine,6754,88300,0.3293235023106979,0.37635755640277263,0.3257259032015487,0.050631653201223925,0.04351175378437704,0.0578534169936652,0.544974273875202,0.6580259641887769,0.9289456519452101,282,1766
official_4to5,30,episode,ce,222,1058,1.3609556911461607,1.387395265993315,1.3554078786546029,0.0319873873387122,0.018289463016857653,0.04615633772840577,0.578671298898142,0.78046875,0.8265625,222,1058
official_4to5,30,episode,perplexity,222,1058,3.947266564121114,4.058027701559237,3.924025569308956,0.13400213225028157,0.079406110521084,0.19063682753480204,0.5868415674653861,0.7765625,0.8265625,222,1058
official_4to5,30,episode,target_confidence_mean,222,1058,0.689078021535936,0.68268346305531,0.6904197908957649,-0.00773632784045486,-0.011598490435292933,-0.004005256894955941,0.4214819734668506,0.7,0.8265625,222,1058
official_4to5,30,episode,action_obs_cosine,222,1058,0.3139765184576961,0.3421790394941196,0.308058787200526,0.03412025229359361,0.007097756715166892,0.061374941334762796,0.5316933190279127,0.59296875,0.8265625,222,1058
official_4to5,30,transition,ce,5261,52900,1.3571508047708576,1.3746761405530044,1.355407878654603,0.01926826189840125,0.014953705536148087,0.023980264874254437,0.528263318300768,0.9095441962827324,0.9095441962827324,222,1058
official_4to5,30,transition,perplexity,5261,52900,3.9313121748756115,4.004579887188116,3.9240255693089563,0.08055431787916012,0.06240441391173621,0.10017938573560367,0.528263318300768,0.6407214456422688,0.9095441962827324,222,1058
official_4to5,30,transition,target_confidence_mean,5261,52900,0.6899675832262713,0.6854205796687328,0.6904197908957649,-0.004999211227032063,-0.006197876075064357,-0.0039006645921964736,0.46460664288237197,0.8518938807792164,0.9095441962827324,222,1058
official_4to5,30,transition,action_obs_cosine,5261,52900,0.3104680219154969,0.3346931723473465,0.308058787200526,0.02663438514682054,0.017819039199268992,0.035276097068407695,0.5222108722421184,0.656573992881828,0.9095441962827324,222,1058
official_4to5,45,episode,ce,261,891,1.3634012712427692,1.3867765721298886,1.3565539608818957,0.03022261124799286,0.015841219929269228,0.04364182822248507,0.591238051008166,0.734375,0.7734375,261,891
official_4to5,45,episode,perplexity,261,891,3.9575459194312015,4.056704313048399,3.9284995213009117,0.1282047917474869,0.07266079902086588,0.1798461299027496,0.5963982094250294,0.7274305555555556,0.7734375,261,891
official_4to5,45,episode,target_confidence_mean,261,891,0.68828597606099,0.6823162780977889,0.6900346754643518,-0.007718397366562879,-0.011200823024182353,-0.004063268996140643,0.4125116641080881,0.6354166666666666,0.7734375,261,891
official_4to5,45,episode,action_obs_cosine,261,891,0.3077132806135313,0.3023471183542365,0.3092851867298904,-0.006938068375653916,-0.036508245304537126,0.020522778104475472,0.47843268788351806,0.59375,0.7734375,261,891
official_4to5,45,transition,ce,5949,44550,1.3590919962401762,1.3780984637492357,1.356553960881896,0.021544502867339776,0.017399558200763526,0.025863190918609034,0.535279728043778,0.8223727202518861,0.8821956870433078,261,891
official_4to5,45,transition,perplexity,5949,44550,3.938844014184852,4.016310337597115,3.9284995213009117,0.08781081629620369,0.07107468775521905,0.10543349179378493,0.535279728043778,0.5234559100180202,0.8821956870433078,261,891
official_4to5,45,transition,target_confidence_mean,5949,44550,0.6892679425432586,0.6835261453278106,0.6900346754643518,-0.00650853013654118,-0.007551922018102067,-0.005475855956450907,0.44856241766198623,0.8340561199231667,0.8821956870433078,261,891
official_4to5,45,transition,action_obs_cosine,5949,44550,0.30848871243584225,0.3025241923820779,0.3092851867298904,-0.006760994347812521,-0.015714423557042126,0.0022725910986094587,0.4959002965536276,0.651102002019842,0.8821956870433078,261,891
official_4to5,60,episode,ce,576,1216,1.3632234722201826,1.3910090097577696,1.3500619018076414,0.040947107950128236,0.030789620752585328,0.05051173652558443,0.6181283694261696,0.6316964285714286,0.6785714285714286,576,1216
official_4to5,60,episode,perplexity,576,1216,3.9599937850990807,4.0794032862915905,3.9034313897973654,0.17597189649422518,0.13668715144612334,0.21512951621031076,0.6230811403508771,0.5284598214285714,0.6785714285714286,576,1216
official_4to5,60,episode,target_confidence_mean,576,1216,0.6876821275991584,0.6814675645400446,0.6906258679955806,-0.009158303455535921,-0.011551475004276706,-0.006697296545808219,0.39606176900584794,0.6411830357142857,0.6785714285714286,576,1216
official_4to5,60,episode,action_obs_cosine,576,1216,0.29534794052556773,0.28525785448347085,0.30012745496656096,-0.014869600483090106,-0.03619306366161395,0.007469218499441638,0.47267338267543857,0.5541294642857143,0.6785714285714286,576,1216
official_4to5,60,transition,ce,12267,60800,1.3545281035606849,1.3766643281131468,1.3500619018076412,0.026602426305505578,0.02343036673618278,0.029557645867172844,0.5426029452145894,0.5205906907358999,0.8321129921852546,576,1216
official_4to5,60,transition,perplexity,12267,60800,3.92189331675905,4.013397772556748,3.903431389797366,0.10996638275938198,0.09726924833837702,0.12223317120065419,0.5426029452145894,0.6232635800019161,0.8321129921852546,576,1216
official_4to5,60,transition,target_confidence_mean,12267,60800,0.689465000671779,0.683711292895865,0.6906258679955806,-0.006914575099715603,-0.007613799587056177,-0.006146377138735848,0.44827825469380833,0.8071085442128457,0.8321129921852546,576,1216
official_4to5,60,transition,action_obs_cosine,12267,60800,0.29516401455270774,0.27056328273871266,0.30012745496656096,-0.029564172227848295,-0.035986171818456245,-0.023053719428805665,0.47752924982194417,0.6258776191714454,0.8321129921852546,576,1216
official_4to5,75,episode,ce,824,1224,1.3841186242572423,1.4115030221645521,1.3656833759928444,0.04581964617170775,0.03662146309556315,0.05519102608519721,0.6469091074941303,0.56494140625,0.59765625,824,1224
official_4to5,75,episode,perplexity,824,1224,4.043074138960255,4.164115451568472,3.961588810864526,0.2025266407039461,0.166016181069452,0.2396295076219915,0.6519131924614506,0.5322265625,0.59765625,824,1224
official_4to5,75,episode,target_confidence_mean,824,1224,0.6826475455144094,0.6763494858733429,0.6868874157302909,-0.010537929856948014,-0.012754619969156522,-0.008391716806043132,0.37310524938130585,0.546875,0.59765625,824,1224
official_4to5,75,episode,action_obs_cosine,824,1224,0.31147771576709726,0.2854163984227358,0.3290222627374844,-0.04360586431474861,-0.06279848596472205,-0.02222117711421181,0.44078780379465704,0.5791015625,0.59765625,824,1224
official_4to5,75,transition,ce,16169,61200,1.3708544685605775,1.3904271610675525,1.3656833759928444,0.02474378507470809,0.02191031295400575,0.027515381901388726,0.5410749034806782,0.5483203867181946,0.7910144890072252,824,1224
official_4to5,75,transition,perplexity,16169,61200,3.9844349392739207,4.070908008644631,3.961588810864525,0.10931919778010579,0.09747798616020259,0.12085183048897734,0.5410749034806782,0.7260789204978738,0.7910144890072252,824,1224
official_4to5,75,transition,target_confidence_mean,16169,61200,0.6854535782367542,0.6800264736165275,0.686887415730291,-0.006860942113763535,-0.007552606238613577,-0.006191820777681495,0.44965444193015197,0.7610024686890098,0.7910144890072252,824,1224
official_4to5,75,transition,action_obs_cosine,16169,61200,0.31930305506825585,0.28251565267127476,0.3290222627374844,-0.04650661006620965,-0.05227045386177472,-0.040709923194710104,0.46482888814915335,0.6332768938463725,0.7910144890072252,824,1224
official_4to5,90,episode,ce,943,1105,1.3916365335138785,1.4225129441294468,1.365286800291724,0.05722614383772284,0.04832710318462564,0.06614367919996761,0.665228427613806,0.50439453125,0.53955078125,943,1105
official_4to5,90,episode,perplexity,943,1105,4.077451498213612,4.215317930317705,3.959797158417991,0.2555207718997141,0.2199219713876944,0.2917323251495253,0.6726016420109117,0.56494140625,0.53955078125,943,1105
official_4to5,90,episode,target_confidence_mean,943,1105,0.6754348615965051,0.6699479283938988,0.6801173756327565,-0.01016944723885771,-0.012329017236611908,-0.00799362382892649,0.38174498447719074,0.57275390625,0.53955078125,943,1105
official_4to5,90,episode,action_obs_cosine,943,1105,0.29606238359713166,0.2888948471440948,0.3021791138009451,-0.013284266656850285,-0.03098074261555904,0.005426195651038544,0.4704394850362039,0.52783203125,0.53955078125,943,1105
official_4to5,90,transition,ce,17054,55250,1.3727099675570034,1.39675887053617,1.3652868002917238,0.031472070244446204,0.028648647008427952,0.03428076563408437,0.5518546474944904,0.6178219738880283,0.7641347643283912,943,1105
official_4to5,90,transition,perplexity,17054,55250,3.9923369033807803,4.097756213172857,3.9597971584179916,0.13795905475486503,0.12596391216140682,0.1495193640122123,0.5518546474944904,0.7530012170834255,0.7641347643283912,943,1105
official_4to5,90,transition,target_confidence_mean,17054,55250,0.678608349060941,0.6737195418548427,0.6801173756327564,-0.006397833777913697,-0.007043918742581165,-0.005783558347780105,0.4518046301686366,0.7234316220402744,0.7641347643283912,943,1105
official_4to5,90,transition,action_obs_cosine,17054,55250,0.2986406000492838,0.28717684463827853,0.30217911380094503,-0.015002269162666504,-0.020473471266051597,-0.009547706811465832,0.48807243851975113,0.597587961938482,0.7641347643283912,943,1105
official_4to5,105,episode,ce,1135,913,1.3927358730958352,1.4135492520246133,1.366861628753926,0.04668762327068743,0.03862203231382183,0.05494467399565555,0.6497551278401551,0.57177734375,0.55419921875,1135,913
official_4to5,105,episode,perplexity,1135,913,4.075450887312568,4.1662153961240875,3.962616585558928,0.20359881056515938,0.17096336250259947,0.23639416796882104,0.6550713868690622,0.50146484375,0.55419921875,1135,913
official_4to5,105,episode,target_confidence_mean,1135,913,0.6736502200939762,0.6700834392668727,0.678084279501164,-0.008000840234291262,-0.009928374832915351,-0.005988522339132702,0.39623644759253274,0.576171875,0.55419921875,1135,913
official_4to5,105,episode,action_obs_cosine,1135,913,0.3005366117660884,0.28817186538943307,0.31590790107332145,-0.027736035683888383,-0.049434131124542965,-0.006420670168255866,0.4539539013080758,0.521484375,0.55419921875,1135,913
official_4to5,105,transition,ce,21177,45650,1.3756998246332868,1.394751798090001,1.366861628753926,0.027890169336075132,0.02541876977618072,0.0303149551103937,0.5490226521871333,0.6025708171846709,0.6831071273587024,1135,913
official_4to5,105,transition,perplexity,21177,45650,4.000290479153834,4.081501851992641,3.9626165855589273,0.11888526643371389,0.1085995835793647,0.12898714374511464,0.5490226521871333,0.6735750519999402,0.6831071273587024,1135,913
official_4to5,105,transition,target_confidence_mean,21177,45650,0.6764029109299791,0.6727784846526691,0.6780842795011639,-0.005305794848494805,-0.005886285472509056,-0.0047181324493906305,0.4588575709423743,0.6024511050922531,0.6831071273587024,1135,913
official_4to5,105,transition,action_obs_cosine,21177,45650,0.30624499666692184,0.2854152480645636,0.31590790107332145,-0.030492653008757864,-0.03615704325559077,-0.024620079475607914,0.47712908686349415,0.5719245215257306,0.6831071273587024,1135,913
official_4to5,120,episode,ce,1297,751,1.4173791173026185,1.4375635280466428,1.3825200217833111,0.055043506263331654,0.046832452301049966,0.06329954960178531,0.6696873970147231,0.6298828125,0.63330078125,1297,751
official_4to5,120,episode,perplexity,1297,751,4.186749079445427,4.279360451258483,4.0268064040239455,0.2525540472345371,0.21845387840053002,0.2860796516000982,0.6765484622405284,0.59228515625,0.63330078125,1297,751
official_4to5,120,episode,target_confidence_mean,1297,751,0.6714989294283464,0.669339931853573,0.6752275843610777,-0.00588765250750467,-0.007817628858298203,-0.0039044165446964277,0.4200320929072211,0.57373046875,0.63330078125,1297,751
official_4to5,120,episode,action_obs_cosine,1297,751,0.27404147698491343,0.2650656411243852,0.289543020408489,-0.024477379284103817,-0.044636624903360116,-0.005110806935695651,0.45320400350291107,0.5029296875,0.63330078125,1297,751
official_4to5,120,transition,ce,21841,37550,1.3924729493114092,1.4095844565079694,1.3825200217833116,0.027064434724657804,0.02440563720820136,0.029667427188068116,0.5427969983522726,0.5997204963715042,0.6322506777121113,1297,751
official_4to5,120,transition,perplexity,21841,37550,4.0726824011184295,4.15155441663502,4.026806404023946,0.12474801261107338,0.11316597855154106,0.13611112511353973,0.5427969983522726,0.6327052920476166,0.6322506777121113,1297,751
official_4to5,120,transition,target_confidence_mean,21841,37550,0.6741610928732391,0.6723275341823214,0.6752275843610777,-0.002900050178756275,-0.0034798808790864775,-0.002287346624620446,0.47778717459942766,0.5964708457510397,0.6322506777121113,1297,751
official_4to5,120,transition,action_obs_cosine,21841,37550,0.27816303355210314,0.2585980637037772,0.28954302040848895,-0.030944956704711757,-0.03621422393237522,-0.02528046466882256,0.47308795482372273,0.5560101698910609,0.6322506777121113,1297,751
official_4to5,135,episode,ce,1434,614,1.514855345116032,1.552879045418079,1.4260508072770506,0.1268282381410284,0.11594053423289444,0.1378844017290147,0.7709636605654214,0.7001953125,0.7001953125,1434,614
official_4to5,135,episode,perplexity,1434,614,4.689681619806597,4.887158617376964,4.228473127109679,0.6586854902672847,0.6072402848550988,0.7112281887594069,0.7740971928820318,0.66455078125,0.7001953125,1434,614
official_4to5,135,episode,target_confidence_mean,1434,614,0.6695933090045674,0.6679674102156197,0.6733906035702858,-0.005423193354666123,-0.007596369688484506,-0.003314761833776771,0.42539035703414974,0.65771484375,0.7001953125,1434,614
official_4to5,135,episode,action_obs_cosine,1434,614,0.25701966085383077,0.2498191702080516,0.27383644193859846,-0.024017271730546852,-0.04344219702278333,-0.005399012238026769,0.45842021815472545,0.51220703125,0.7001953125,1434,614
official_4to5,135,transition,ce,22082,30700,1.455482270591982,1.4964000282121428,1.4260508072770504,0.07034922093509244,0.06692379241645287,0.07377613425574242,0.5926055187549397,0.6004319654427646,0.5816376795119549,1434,614
official_4to5,135,transition,perplexity,22082,30700,4.378519601190386,4.587125105867397,4.228473127109679,0.3586519787577176,0.3400566934256993,0.3769347796689877,0.5926055187549397,0.6056231290970406,0.5816376795119549,1434,614
official_4to5,135,transition,target_confidence_mean,22082,30700,0.6723689075774926,0.6709484716125097,0.6733906035702858,-0.0024421319577760947,-0.003050191041399597,-0.0018626574711045633,0.48298206684177153,0.543177598423705,0.5816376795119549,1434,614
official_4to5,135,transition,action_obs_cosine,22082,30700,0.26601649217459067,0.25514463012608773,0.2738364419385985,-0.018691811812510783,-0.024070461858623233,-0.01355009092680948,0.4833071654452297,0.5436133530370202,0.5816376795119549,1434,614
official_4to5,150,episode,ce,1613,435,1.6323883746289571,1.6780178457024504,1.4631921979817288,0.21482564772072155,0.20137317516064257,0.22870165556862918,0.8355146047558986,0.58837890625,0.78759765625,1613,435
official_4to5,150,episode,perplexity,1613,435,5.427418815807654,5.690729699140346,4.451049954162523,1.2396797449778232,1.1660157988716626,1.316901006604394,0.82972115925918,0.541015625,0.78759765625,1613,435
official_4to5,150,episode,target_confidence_mean,1613,435,0.6704268391560116,0.6700392749772843,0.671863944949775,-0.0018246699724906446,-0.004298164185374686,0.000507245698640607,0.4749413885741568,0.7001953125,0.78759765625,1613,435
official_4to5,150,episode,action_obs_cosine,1613,435,0.23910306454731187,0.23792266306888252,0.2434800475006602,-0.0055573844317776955,-0.027468913316075358,0.015424865085444727,0.4832731185554154,0.541015625,0.78759765625,1613,435
official_4to5,150,transition,ce,23868,21750,1.5340621355926771,1.5986432124754544,1.4631921979817288,0.13545101449372554,0.13062124902447797,0.14008826053412937,0.6492407542248652,0.548336183085624,0.52321452058398,1613,435
official_4to5,150,transition,perplexity,23868,21750,4.850446370380949,5.214401123722274,4.451049954162522,0.7633511695597521,0.7324440982796668,0.7933257764106088,0.6492407542248652,0.5471524398263843,0.52321452058398,1613,435
official_4to5,150,transition,target_confidence_mean,23868,21750,0.6718455299743562,0.6718287491081187,0.6718639449497749,-3.519584165612155e-05,-0.0006324415964439306,0.000603167731488257,0.5048273656451479,0.52321452058398,0.52321452058398,1613,435
official_4to5,150,transition,action_obs_cosine,23868,21750,0.23973458661166325,0.2363214906532384,0.24348004750066018,-0.007158556847421782,-0.012631256501924981,-0.0015859530089336236,0.4918506806593351,0.5054802928668508,0.52321452058398,1613,435
